GENE_ID	GENE_ID_noversion	logFC.as.vector.pheno.sample.class.Intermediate.Normal	logFC.as.vector.pheno.sample.class.Poor	logCPM	F	pvalue	padj	evalue	rank	Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	Gene % GC content	Source (gene)	HGNC symbol	HGNC ID
ENSG00000283159.1	ENSG00000283159	-7.122893217	-4.218453716	-6.885305919	35.2271409	7.02E-13	2.25E-10	3.98E-08	177	ENSG00000283159	microRNA 665 [Source:HGNC Symbol;Acc:HGNC:33662]	14	100875033	100875104	1	miRNA	63.89	mirbase	MIR665	HGNC:33662
ENSG00000111540.15	ENSG00000111540	-0.685735482	-0.805299718	7.110875162	34.99198316	8.16E-13	2.6E-10	4.63E-08	178	ENSG00000111540	RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]	12	55973913	55996683	1	protein_coding	46.01	ensembl_havana	RAB5B	HGNC:9784
ENSG00000137273.3	ENSG00000137273	6.008405025	0.045182552	0.928952871	34.95871613	8.34E-13	2.64E-10	4.73E-08	179	ENSG00000137273	forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]	6	1389576	1395603	1	protein_coding	60.68	ensembl_havana	FOXF2	HGNC:3810
ENSG00000183186.7	ENSG00000183186	-3.408906392	-2.104638763	-2.557817715	34.92997609	8.49E-13	2.68E-10	4.82E-08	180	ENSG00000183186	C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]	19	405445	409147	-1	protein_coding	68.43	ensembl_havana	C2CD4C	HGNC:29417
ENSG00000185974.6	ENSG00000185974	-3.046710483	-2.773302667	-2.161549569	34.89458312	8.69E-13	2.72E-10	4.93E-08	181	ENSG00000185974	G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013]	13	113667219	113737736	1	protein_coding	60.29	ensembl_havana	GRK1	HGNC:10013
ENSG00000183072.9	ENSG00000183072	0.652171847	3.933494824	-3.235912316	34.8773802	8.78E-13	2.74E-10	4.98E-08	182	ENSG00000183072	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	5	173232109	173235311	-1	protein_coding	61.82	ensembl_havana	NKX2-5	HGNC:2488
ENSG00000268388.5	ENSG00000268388	6.749294645	-0.004624531	0.491120479	34.84771136	8.95E-13	2.76E-10	5.08E-08	183.5	ENSG00000268388	FOXF1 adjacent non-coding developmental regulatory RNA [Source:HGNC Symbol;Acc:HGNC:43894]	16	86474529	86509099	-1	lincRNA	51.71	havana	FENDRR	HGNC:43894
ENSG00000145832.12	ENSG00000145832	-3.078288986	-2.02491797	-2.98488585	34.85056973	8.94E-13	2.76E-10	5.07E-08	183.5	ENSG00000145832	solute carrier family 25 member 48 [Source:HGNC Symbol;Acc:HGNC:30451]	5	135579202	135889770	1	protein_coding	44.71	ensembl_havana	SLC25A48	HGNC:30451
ENSG00000168004.9	ENSG00000168004	-3.645266739	-3.909348493	0.428710834	34.63210121	1.03E-12	3.16E-10	5.84E-08	185	ENSG00000168004	HRAS like suppressor family member 5 [Source:HGNC Symbol;Acc:HGNC:24978]	11	63461404	63491194	-1	protein_coding	40.25	ensembl_havana	HRASLS5	HGNC:24978
ENSG00000270507.1	ENSG00000270507	1.756180002	6.461034212	-9.348917339	34.44827689	1.16E-12	3.53E-10	6.57E-08	186	ENSG00000270507	transmembrane protein 241 (TMEM241) pseudogene	1	88313153	88313302	1	processed_pseudogene	40	havana		
ENSG00000254067.2	ENSG00000254067	0.809925756	6.300093082	-3.704918914	34.36364381	1.22E-12	3.71E-10	6.94E-08	187	ENSG00000254067	ADAM metallopeptidase domain 2 (ADAM2) pseudogene	8	39522976	39580134	1	transcribed_unitary_pseudogene	33.23	havana		
ENSG00000229332.2	ENSG00000229332	1.550770967	8.025836546	-2.491474795	34.30702682	1.27E-12	3.83E-10	7.2E-08	188	ENSG00000229332	piggyBac transposable element derived 4 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:44075]	1	60097415	60097976	1	processed_pseudogene	43.77	havana	PGBD4P8	HGNC:44075
ENSG00000281202.2	ENSG00000281202	-5.436074241	-6.124587078	-2.487056071	34.27953126	1.29E-12	3.86E-10	7.33E-08	189.5	ENSG00000281202	long intergenic non-protein coding RNA 1097 [Source:HGNC Symbol;Acc:HGNC:27738]	4	13526319	13534335	-1	lincRNA	50.37	havana	LINC01097	HGNC:27738
ENSG00000173531.15	ENSG00000173531	-1.779212837	-1.937287223	3.595393529	34.28204114	1.29E-12	3.86E-10	7.32E-08	189.5	ENSG00000173531	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	3	49683947	49689501	-1	protein_coding	60.67	ensembl_havana	MST1	HGNC:7380
ENSG00000260763.1	ENSG00000260763	0.157324667	3.295568271	-2.795364841	34.26879204	1.3E-12	3.87E-10	7.38E-08	191	ENSG00000260763	novel transcript	5	4436850	4440259	-1	lincRNA	41.79	havana		
ENSG00000069535.13	ENSG00000069535	0.052027678	4.48644076	0.17620476	34.19223115	1.37E-12	4.04E-10	7.76E-08	192	ENSG00000069535	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	X	43766610	43882450	-1	protein_coding	39.31	ensembl_havana	MAOB	HGNC:6834
ENSG00000207742.3	ENSG00000207742	-9.317806541	-4.078132531	-7.613560115	45.66748273	1.43E-12	4.2E-10	8.1E-08	193	ENSG00000207742	microRNA 487a [Source:HGNC Symbol;Acc:HGNC:32343]	14	101052446	101052525	1	miRNA	41.25	mirbase	MIR487A	HGNC:32343
ENSG00000201398.1	ENSG00000201398	-3.866844169	-1.296890561	-10.47660673	34.09257875	1.46E-12	4.27E-10	8.28E-08	194	ENSG00000201398		3	154007367	154007502	-1	snoRNA	43.38	ensembl		
ENSG00000265018.6	ENSG00000265018	-1.509479997	-1.508105053	3.931947546	34.06556427	1.48E-12	4.31E-10	8.42E-08	196.5	ENSG00000265018	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23661]	10	48009873	48031640	-1	transcribed_unprocessed_pseudogene	40.43	ensembl_havana	AGAP12P	HGNC:23661
ENSG00000170775.2	ENSG00000170775	0.316237688	4.596153922	-3.36175769	34.05030527	1.5E-12	4.31E-10	8.51E-08	196.5	ENSG00000170775	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	7	124745997	124765627	-1	protein_coding	38.4	ensembl_havana	GPR37	HGNC:4494
ENSG00000124429.17	ENSG00000124429	0.448604992	4.481762846	-0.476860559	34.04495565	1.5E-12	4.31E-10	8.54E-08	196.5	ENSG00000124429	POF1B, actin binding protein [Source:HGNC Symbol;Acc:HGNC:13711]	X	85277396	85379717	-1	protein_coding	35.73	ensembl_havana	POF1B	HGNC:13711
ENSG00000270182.1	ENSG00000270182	7.387018114	5.897447987	-1.982626845	34.04633539	1.5E-12	4.31E-10	8.53E-08	196.5	ENSG00000270182	novel transcript	7	27158344	27158976	1	sense_intronic	53.87	havana		
ENSG00000199151.3	ENSG00000199151	-7.327851157	-3.093582378	-6.301633668	34.01674705	1.53E-12	4.37E-10	8.69E-08	199	ENSG00000199151	microRNA 337 [Source:HGNC Symbol;Acc:HGNC:31774]	14	100874493	100874585	1	miRNA	48.39	mirbase	MIR337	HGNC:31774
ENSG00000268235.6	ENSG00000268235	-2.650508663	3.70597298	-8.681337133	34.00012441	1.55E-12	4.39E-10	8.79E-08	200	ENSG00000268235	t-complex 11 family, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:48369]	X	102215301	102229532	1	protein_coding	41.08	ensembl_havana	TCP11X1	HGNC:48369
ENSG00000137558.7	ENSG00000137558	8.061864279	2.007083956	2.491529635	33.98782029	1.56E-12	4.41E-10	8.86E-08	201	ENSG00000137558	peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]	8	74824534	74855029	1	protein_coding	34.88	ensembl_havana	PI15	HGNC:8946
ENSG00000005073.5	ENSG00000005073	8.166007976	5.327884552	1.846282762	33.94840163	1.6E-12	4.5E-10	9.09E-08	202	ENSG00000005073	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	7	27181510	27185223	-1	protein_coding	55.22	ensembl_havana	HOXA11	HGNC:5101
ENSG00000165841.9	ENSG00000165841	0.251558269	4.622059286	-2.791576168	33.92968312	1.62E-12	4.53E-10	9.2E-08	203	ENSG00000165841	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	10	94762681	94855547	1	protein_coding	39.49	ensembl_havana	CYP2C19	HGNC:2621
ENSG00000272636.3	ENSG00000272636	-3.305918029	-3.405911917	2.637856565	33.83233939	1.73E-12	4.78E-10	9.8E-08	204.5	ENSG00000272636	double C2 domain beta [Source:HGNC Symbol;Acc:HGNC:2986]	17	142789	181650	-1	protein_coding	56.45	ensembl_havana	DOC2B	HGNC:2986
ENSG00000134138.19	ENSG00000134138	0.373936856	3.522557631	1.110768123	33.83396416	1.73E-12	4.78E-10	9.79E-08	204.5	ENSG00000134138	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	15	36889204	37101299	-1	protein_coding	38.26	ensembl_havana	MEIS2	HGNC:7001
ENSG00000263165.1	ENSG00000263165	-0.811832402	-1.141350855	2.845811107	33.77597929	1.79E-12	4.94E-10	1.02E-07	206	ENSG00000263165	novel transcript, antisense to ANKFY1	17	4163910	4164713	1	antisense	46.39	havana		
ENSG00000250538.5	ENSG00000250538	1.268384143	6.409744445	-2.899611374	33.73019186	1.85E-12	5.06E-10	1.05E-07	207	ENSG00000250538	novel transcript	4	155206529	155209027	-1	antisense	49.22	havana		
ENSG00000119979.16	ENSG00000119979	-1.076664102	-1.645471477	5.491546135	33.63332592	1.97E-12	5.36E-10	1.12E-07	208	ENSG00000119979	family with sequence similarity 45 member A [Source:HGNC Symbol;Acc:HGNC:31793]	10	119104086	119137984	1	protein_coding	45.15	ensembl_havana	FAM45A	HGNC:31793
ENSG00000272801.1	ENSG00000272801	7.963426447	6.916096	1.711850217	33.5895641	2.02E-12	5.49E-10	1.15E-07	209	ENSG00000272801	novel transcript	7	27147366	27152598	-1	processed_transcript	56.68	havana		
ENSG00000237193.1	ENSG00000237193	-5.038830166	-7.626162519	-9.012363028	35.89669284	2.13E-12	5.76E-10	1.21E-07	210	ENSG00000237193	novel pseudogene	1	227482253	227482454	1	processed_pseudogene	36.14	havana		
ENSG00000100505.13	ENSG00000100505	3.24045341	2.401479134	1.362701129	33.47508599	2.18E-12	5.86E-10	1.24E-07	211	ENSG00000100505	tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288]	14	50975262	51096061	-1	protein_coding	40.47	ensembl_havana	TRIM9	HGNC:16288
ENSG00000144339.11	ENSG00000144339	2.773294778	4.945815047	-1.643617989	33.4182387	2.26E-12	6.06E-10	1.28E-07	212	ENSG00000144339	transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]	2	191949043	192194933	-1	protein_coding	35.9	ensembl_havana	TMEFF2	HGNC:11867
ENSG00000207959.1	ENSG00000207959	-7.006738892	-4.450470186	-6.066077498	33.37188203	2.33E-12	6.21E-10	1.32E-07	213	ENSG00000207959	microRNA 656 [Source:HGNC Symbol;Acc:HGNC:32912]	14	101066724	101066801	1	miRNA	37.18	mirbase	MIR656	HGNC:32912
ENSG00000214313.8	ENSG00000214313	-4.771105454	-6.429433437	-3.294937228	33.28616256	2.47E-12	6.54E-10	1.4E-07	214	ENSG00000214313	alpha-2-glycoprotein 1, zinc-binding pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:911]	7	99980762	99987535	1	transcribed_unprocessed_pseudogene	49.62	havana	AZGP1P1	HGNC:911
ENSG00000167123.18	ENSG00000167123	-1.891941266	-2.074315467	5.078035588	33.23522172	2.55E-12	6.73E-10	1.45E-07	215	ENSG00000167123	cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]	9	128411751	128437351	1	protein_coding	55.11	ensembl_havana	CERCAM	HGNC:23723
ENSG00000215957.1	ENSG00000215957	-6.429575004	-3.942543105	-8.429064445	33.21331281	2.59E-12	6.8E-10	1.47E-07	216	ENSG00000215957	microRNA 300 [Source:HGNC Symbol;Acc:HGNC:33636]	14	101041363	101041445	1	miRNA	43.37	mirbase	MIR300	HGNC:33636
ENSG00000158292.6	ENSG00000158292	-2.217024632	-3.07587942	3.159185337	33.15068322	2.7E-12	7.05E-10	1.53E-07	217	ENSG00000158292	G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]	1	6247353	6261098	-1	protein_coding	60.53	ensembl_havana	GPR153	HGNC:23618
ENSG00000272344.1	ENSG00000272344	-6.364413753	-4.02792832	-8.517986768	33.10969339	2.77E-12	7.21E-10	1.57E-07	218	ENSG00000272344	small nucleolar RNA, C/D box 114-21 [Source:HGNC Symbol;Acc:HGNC:33009]	14	100981975	100982046	1	snoRNA	47.22	ensembl	SNORD114-21	HGNC:33009
ENSG00000077782.19	ENSG00000077782	-2.676012609	-2.27414431	5.400615743	33.09994611	2.79E-12	7.22E-10	1.58E-07	219	ENSG00000077782	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	8	38400215	38468834	-1	protein_coding	49.49	ensembl_havana	FGFR1	HGNC:3688
ENSG00000179913.10	ENSG00000179913	-0.900840287	2.703453412	-1.309382158	33.07439598	2.83E-12	7.31E-10	1.61E-07	220	ENSG00000179913	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	19	17794828	17813082	1	protein_coding	52.93	ensembl_havana	B3GNT3	HGNC:13528
ENSG00000187550.8	ENSG00000187550	-4.354265081	-3.698725364	-3.473717151	33.0024257	2.97E-12	7.63E-10	1.69E-07	221	ENSG00000187550	SH3 domain binding kinase family member 2 [Source:HGNC Symbol;Acc:HGNC:34416]	19	55529733	55537089	-1	protein_coding	57.36	ensembl_havana	SBK2	HGNC:34416
ENSG00000108242.12	ENSG00000108242	0.051332985	4.821262153	-1.588172046	32.94307148	3.09E-12	7.86E-10	1.75E-07	222.5	ENSG00000108242	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	10	94683729	94736190	1	protein_coding	38.08	ensembl_havana	CYP2C18	HGNC:2620
ENSG00000274052.1	ENSG00000274052	2.741272408	8.064955907	-7.060206657	32.94249497	3.09E-12	7.86E-10	1.75E-07	222.5	ENSG00000274052	olfactory receptor family 7 subfamily E member 156 pseudogene [Source:HGNC Symbol;Acc:HGNC:31311]	13	63737511	63742804	1	transcribed_unprocessed_pseudogene	58.73	havana	OR7E156P	HGNC:31311
ENSG00000281852.1	ENSG00000281852	2.871410876	4.380478654	1.214747014	32.83286243	3.32E-12	8.41E-10	1.88E-07	224	ENSG00000281852	long intergenic non-protein coding RNA 891 [Source:HGNC Symbol;Acc:HGNC:48577]	X	71697196	71706455	1	lincRNA	43.43	havana	LINC00891	HGNC:48577
ENSG00000201710.1	ENSG00000201710	-9.344482454	-2.761842482	-7.464261231	43.43583213	3.41E-12	8.61E-10	1.94E-07	225	ENSG00000201710		14	100979992	100980066	1	snoRNA	36	ensembl		
ENSG00000106004.4	ENSG00000106004	6.335424423	5.171689263	4.550255512	32.7547621	3.5E-12	8.78E-10	1.98E-07	226	ENSG00000106004	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	7	27141052	27143681	-1	protein_coding	53.38	ensembl_havana	HOXA5	HGNC:5106
ENSG00000199015.4	ENSG00000199015	-9.136274184	-3.987807474	-7.77029069	43.3219268	3.57E-12	8.89E-10	2.03E-07	227.5	ENSG00000199015	microRNA 377 [Source:HGNC Symbol;Acc:HGNC:31870]	14	101062050	101062118	1	miRNA	39.13	mirbase	MIR377	HGNC:31870
ENSG00000120659.14	ENSG00000120659	-0.188353043	3.014530119	-2.473738081	32.72732616	3.56E-12	8.89E-10	2.02E-07	227.5	ENSG00000120659	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	13	42562736	42608013	1	protein_coding	41.03	ensembl_havana	TNFSF11	HGNC:11926
ENSG00000162494.5	ENSG00000162494	-2.897025011	-3.638751825	-1.450116785	32.51730031	4.09E-12	1.01E-09	2.32E-07	229	ENSG00000162494	leucine rich repeat containing 38 [Source:HGNC Symbol;Acc:HGNC:27005]	1	13474973	13514003	-1	protein_coding	50.14	ensembl_havana	LRRC38	HGNC:27005
ENSG00000104881.15	ENSG00000104881	0.815371426	1.65136115	2.553218468	32.48310322	4.18E-12	1.03E-09	2.37E-07	230	ENSG00000104881	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	19	45379638	45406349	-1	protein_coding	53.45	ensembl_havana	PPP1R13L	HGNC:18838
ENSG00000130649.9	ENSG00000130649	-2.346590327	-2.407540476	2.544955486	32.46911249	4.22E-12	1.04E-09	2.4E-07	231	ENSG00000130649	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	10	133520406	133561220	1	protein_coding	45.85	ensembl_havana	CYP2E1	HGNC:2631
ENSG00000263331.1	ENSG00000263331	0.294482664	2.479836072	-2.394118694	32.36974828	4.51E-12	1.1E-09	2.56E-07	232	ENSG00000263331	novel transcript, antisense to DNAH3	16	21120758	21130108	1	antisense	45.04	havana		
ENSG00000260027.4	ENSG00000260027	4.324678672	1.38636721	0.507876134	32.32617974	4.64E-12	1.13E-09	2.63E-07	233	ENSG00000260027	homeobox B7 [Source:HGNC Symbol;Acc:HGNC:5118]	17	48607227	48633572	-1	protein_coding	54.13	ensembl_havana	HOXB7	HGNC:5118
ENSG00000232884.7	ENSG00000232884	0.279391244	3.317267671	-1.225831497	32.17442453	5.13E-12	1.24E-09	2.91E-07	234	ENSG00000232884	novel transcript	21	14746762	14753863	-1	lincRNA	36.13	havana		
ENSG00000254558.1	ENSG00000254558	-6.312224068	-4.730869149	-3.203960418	32.15013104	5.21E-12	1.26E-09	2.96E-07	235	ENSG00000254558	ankyrin repeat domain-containing protein 33B (ANKRD33B) pseudogene	11	89863848	89865550	-1	unprocessed_pseudogene	64.42	havana		
ENSG00000186684.12	ENSG00000186684	-0.095368231	2.776276686	-2.310397994	32.12734181	5.29E-12	1.27E-09	3E-07	236	ENSG00000186684	cytochrome P450 family 27 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:33480]	2	127184120	127220078	-1	protein_coding	45.93	ensembl_havana	CYP27C1	HGNC:33480
ENSG00000215097.3	ENSG00000215097	-2.671598177	-2.935125186	1.070308043	32.11326194	5.34E-12	1.27E-09	3.03E-07	238	ENSG00000215097	dual specificity phosphatase 8 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3077]	10	46774421	46776180	-1	processed_pseudogene	67.5	havana	DUSP8P3	HGNC:3077
ENSG00000122548.5	ENSG00000122548	4.809169621	7.151634642	1.714043776	32.1205948	5.32E-12	1.27E-09	3.02E-07	237	ENSG00000122548	KIAA0087 lncRNA [Source:HGNC Symbol;Acc:HGNC:22191]	7	26533121	26538788	-1	lincRNA	42.94	ensembl_havana	KIAA0087	HGNC:22191
ENSG00000243008.2	ENSG00000243008	-2.541496964	-1.354225328	-0.659399268	32.10631852	5.37E-12	1.27E-09	3.04E-07	239	ENSG00000243008	novel transcript	13	24566873	24597676	1	processed_transcript	39.37	havana		
ENSG00000239218.2	ENSG00000239218	-2.357981303	-2.168747843	-0.136767801	32.06560543	5.51E-12	1.3E-09	3.13E-07	240	ENSG00000239218	ribosomal protein S20 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:36379]	8	38434347	38435664	-1	transcribed_processed_pseudogene	47.12	havana	RPS20P22	HGNC:36379
ENSG00000166295.8	ENSG00000166295	0.580893332	0.433316406	5.705974566	32.01302321	5.71E-12	1.32E-09	3.24E-07	245.5	ENSG00000166295	anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]	10	72216000	72235860	1	protein_coding	43.46	ensembl_havana	ANAPC16	HGNC:26976
ENSG00000215196.4	ENSG00000215196	0.05976022	2.812156015	-2.377463694	32.01624517	5.7E-12	1.32E-09	3.23E-07	245.5	ENSG00000215196	BASP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26609]	5	17130028	17217047	-1	antisense	43.6	havana	BASP1-AS1	HGNC:26609
ENSG00000130054.4	ENSG00000130054	1.871164749	5.026577611	-0.339726669	32.02564499	5.66E-12	1.32E-09	3.21E-07	242	ENSG00000130054	family with sequence similarity 155 member B [Source:HGNC Symbol;Acc:HGNC:30701]	X	69505241	69532508	1	protein_coding	49.14	ensembl_havana	FAM155B	HGNC:30701
ENSG00000199012.2	ENSG00000199012	-6.643136401	-4.749188683	-7.023666455	32.0064115	5.73E-12	1.32E-09	3.25E-07	245.5	ENSG00000199012	microRNA 412 [Source:HGNC Symbol;Acc:HGNC:32064]	14	101065447	101065537	1	miRNA	52.75	mirbase	MIR412	HGNC:32064
ENSG00000168779.19	ENSG00000168779	-3.26187431	-3.762367132	0.13852695	32.0007985	5.76E-12	1.32E-09	3.27E-07	245.5	ENSG00000168779	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	3	158095954	158106503	-1	protein_coding	46.27	ensembl_havana	SHOX2	HGNC:10854
ENSG00000165646.11	ENSG00000165646	-0.737803981	1.125975202	5.178786534	32.03449553	5.63E-12	1.32E-09	3.19E-07	242	ENSG00000165646	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	10	117241073	117279430	1	protein_coding	45.79	ensembl_havana	SLC18A2	HGNC:10935
ENSG00000257178.4	ENSG00000257178	6.205206468	4.16580593	2.586893657	32.02877053	5.65E-12	1.32E-09	3.21E-07	242	ENSG00000257178	novel transcript, sense intronic to HOXB3	17	48579630	48582259	-1	sense_intronic	52.28	havana		
ENSG00000200406.1	ENSG00000200406	-6.562638735	-2.386055574	-8.491598535	31.93651557	6.01E-12	1.37E-09	3.41E-07	248	ENSG00000200406	small nucleolar RNA, C/D box 114-23 [Source:HGNC Symbol;Acc:HGNC:33011]	14	100983876	100983947	1	snoRNA	45.83	ensembl	SNORD114-23	HGNC:33011
ENSG00000100625.8	ENSG00000100625	-2.32479874	-2.206468767	-2.642705209	31.82936578	6.45E-12	1.47E-09	3.66E-07	249	ENSG00000100625	SIX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:10890]	14	60709539	60724351	-1	protein_coding	44.08	ensembl_havana	SIX4	HGNC:10890
ENSG00000146540.14	ENSG00000146540	1.118963811	0.537733674	3.469268067	31.7253038	6.91E-12	1.56E-09	3.92E-07	250.5	ENSG00000146540	chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421]	7	996986	1138260	-1	protein_coding	57.69	ensembl_havana	C7orf50	HGNC:22421
ENSG00000214145.6	ENSG00000214145	2.009729739	4.7868453	0.058342708	31.72288075	6.92E-12	1.56E-09	3.93E-07	250.5	ENSG00000214145	long intergenic non-protein coding RNA 887 [Source:HGNC Symbol;Acc:HGNC:48574]	3	194296465	194312803	-1	lincRNA	49.49	havana	LINC00887	HGNC:48574
ENSG00000213931.5	ENSG00000213931	2.535698057	5.830977051	0.193876131	31.6884392	7.08E-12	1.59E-09	4.02E-07	252	ENSG00000213931	hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]	11	5268345	5505652	-1	protein_coding	38.96	ensembl_havana	HBE1	HGNC:4830
ENSG00000117707.15	ENSG00000117707	1.655339713	4.500059521	-1.149822779	31.67806478	7.13E-12	1.6E-09	4.05E-07	253	ENSG00000117707	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	1	213983181	214041502	1	protein_coding	41.17	ensembl_havana	PROX1	HGNC:9459
ENSG00000248766.2	ENSG00000248766	-2.726983271	3.939510312	-7.873672543	31.64215126	7.3E-12	1.63E-09	4.14E-07	254	ENSG00000248766	novel pseudogene	5	20158662	20158956	-1	processed_pseudogene	36.95	havana		
ENSG00000120075.5	ENSG00000120075	5.888790278	4.450836213	2.517439867	31.57811196	7.62E-12	1.7E-09	4.32E-07	255	ENSG00000120075	homeobox B5 [Source:HGNC Symbol;Acc:HGNC:5116]	17	48591257	48593961	-1	protein_coding	54.27	ensembl_havana	HOXB5	HGNC:5116
ENSG00000124440.15	ENSG00000124440	-2.868004888	0.085155507	0.27341582	31.55451841	7.74E-12	1.71E-09	4.39E-07	257	ENSG00000124440	hypoxia inducible factor 3 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15825]	19	46297046	46343433	1	protein_coding	50.2	ensembl_havana	HIF3A	HGNC:15825
ENSG00000269097.1	ENSG00000269097	-0.130492484	2.049968106	-2.128260771	31.56182095	7.71E-12	1.71E-09	4.37E-07	256	ENSG00000269097	tumor protein p63 regulated 1 like pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52353]	19	57664280	57665039	1	processed_pseudogene	61.97	havana	TPRG1LP1	HGNC:52353
ENSG00000199107.3	ENSG00000199107	-6.574260035	-4.790586871	-6.936210668	31.46785558	8.2E-12	1.8E-09	4.65E-07	258	ENSG00000199107	microRNA 409 [Source:HGNC Symbol;Acc:HGNC:32055]	14	101065300	101065378	1	miRNA	53.16	mirbase	MIR409	HGNC:32055
ENSG00000101198.14	ENSG00000101198	1.445262828	4.645490615	-2.068111191	31.45895048	8.25E-12	1.8E-09	4.68E-07	259.5	ENSG00000101198	sodium/potassium transporting ATPase interacting 4 [Source:HGNC Symbol;Acc:HGNC:16191]	20	63240784	63272694	-1	protein_coding	59.79	ensembl_havana	NKAIN4	HGNC:16191
ENSG00000142611.16	ENSG00000142611	6.932508914	7.036752532	4.009438555	31.45576539	8.27E-12	1.8E-09	4.69E-07	259.5	ENSG00000142611	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	1	3069168	3438621	1	protein_coding	57.58	ensembl_havana	PRDM16	HGNC:14000
ENSG00000171388.11	ENSG00000171388	-3.150986034	-3.114477867	0.257236125	31.43924757	8.36E-12	1.81E-09	4.74E-07	261.5	ENSG00000171388	apelin [Source:HGNC Symbol;Acc:HGNC:16665]	X	129645259	129654956	-1	protein_coding	56.18	ensembl_havana	APLN	HGNC:16665
ENSG00000221930.6	ENSG00000221930	-1.155014618	-1.745206133	4.889329652	31.43996033	8.36E-12	1.81E-09	4.74E-07	261.5	ENSG00000221930	family with sequence similarity 45 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:30886]	X	130494965	130496588	1	transcribed_processed_pseudogene	45.01	havana	FAM45BP	HGNC:30886
ENSG00000201240.1	ENSG00000201240	-4.879328771	-9.413629729	-7.499224434	33.51226313	8.57E-12	1.85E-09	4.86E-07	263	ENSG00000201240	small nucleolar RNA, C/D box 114-9 [Source:HGNC Symbol;Acc:HGNC:32997]	14	100966029	100966100	1	snoRNA	47.22	ensembl	SNORD114-9	HGNC:32997
ENSG00000207743.3	ENSG00000207743	-6.900347421	-3.749306638	-9.492129765	41.01946026	9.05E-12	1.94E-09	5.13E-07	264.5	ENSG00000207743	microRNA 495 [Source:HGNC Symbol;Acc:HGNC:32085]	14	101033755	101033836	1	miRNA	37.8	mirbase	MIR495	HGNC:32085
ENSG00000186487.17	ENSG00000186487	-3.73019644	-2.185186372	-0.287779145	31.32009585	9.05E-12	1.94E-09	5.14E-07	264.5	ENSG00000186487	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	2	1789113	2331664	-1	protein_coding	44.5	ensembl_havana	MYT1L	HGNC:7623
